"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","Link","SiteId"
"USGS","394145074591301","U.S. Geological Survey","151250-- Nu22","39.69597222222220267440206953","-74.98702777777779715506767388","NAD83","North American Datum of 1983","5","145","1","Feet","NGVD29","M","5.0","22","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394145074591301","USGS-394145074591301"
"USGS","394642074375401","U.S. Geological Survey","051496-- Carranza MW56","39.77845109992610161953052739","-74.63126671470880069136910606","NAD27","North American Datum of 1927","S","73","1","Feet","NGVD29","M","5.0","16","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394642074375401","USGS-394642074375401"
"USGS","395814075002201","U.S. Geological Survey","051499-- MapleShade MW10","39.97066805506390352320522652","-75.00572566340700575437949738","NAD27","North American Datum of 1927","S","18","1","Feet","NGVD29","M","10.0","49","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Magothy-Raritan-Potomac Aquifer System, Upper Aquifer","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395814075002201","USGS-395814075002201"
"USGS","391611074383801","U.S. Geological Survey","090509-- Marmora MW46","39.26983747912470334995305166","-74.64349201424469981702713994","NAD27","North American Datum of 1927","S","24","1","Feet","NGVD29","M","2.5","25","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","009","Cape May County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/391611074383801","USGS-391611074383801"
"USGS","393531074523901","U.S. Geological Survey","011240-- USGS Ou05","39.59174999999999755573298899","-74.87716666666669595997518627","NAD83","North American Datum of 1983","5","75","1","Feet","NGVD29","M","5.0","19","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393531074523901","USGS-393531074523901"
"USGS","391844074451501","U.S. Geological Survey","011400-- Macnamara MW45","39.31233737248240345252270345","-74.75377476409930466161313234","NAD27","North American Datum of 1927","S","7","1","Feet","NGVD29","M","5.0","13.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/391844074451501","USGS-391844074451501"
"USGS","394123074435101","U.S. Geological Survey","011402-- Atsion MW51","39.69172222222219659215625143","-74.72997222222220159437711118","NAD83","North American Datum of 1983","5","41.99000000000000198951966013","1","Feet","NAVD88","N","5.0","11.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394123074435101","USGS-394123074435101"
"USGS","393947074464501","U.S. Geological Survey","011404-- MW54","39.66333333333329846936976537","-74.77852777777779635925980983","NAD83","North American Datum of 1983","5","69.54999999999999715782905696","1","Feet","NAVD88","N","5.0","14","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393947074464501","USGS-393947074464501"
"USGS","400533074405101","U.S. Geological Survey","051477-- Mansfield MW4","40.09261135749459725730048376","-74.68043644784019363669358427","NAD27","North American Datum of 1927","S","90","1","Feet","NGVD29","M","5.0","24","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Marshalltown Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/400533074405101","USGS-400533074405101"
"USGS","394351074321501","U.S. Geological Survey","051428-- Suscp30 Dom","39.73083333333330102732361411","-74.53757222222219525065156631","NAD83","North American Datum of 1983","5","50","1","Feet","NGVD29","M","5.0","101","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjsus2 Network","1","Yes","1","Yes","3","Known Changes","3","Special","2","Other","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394351074321501","USGS-394351074321501"
"USGS","394340075012701","U.S. Geological Survey","151220-- Nu08","39.72747222222219676268650801","-75.02397222222219852483249269","NAD83","North American Datum of 1983","5","155","1","Feet","NGVD29","M","5.0","30.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","015","Gloucester County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjlusrc1 Network","1","Yes","1","Yes","3","Known Changes","3","Special","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394340075012701","USGS-394340075012701"
"USGS","401049074404701","U.S. Geological Survey","210768-- MW121R","40.18027777777780329415691085","-74.67972222222219613740890054","NAD83","North American Datum of 1983","S","53","1","Feet","NAVD88","N","1.6","71.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","021","Mercer County","Magothy-Raritan-Potomac Aquifer System, Upper Aquifer","WELL","UNCONFINED","","1","Yes","0","No","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/401049074404701","USGS-401049074404701"
